Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Jessica Kallie,competitions-view?id=1294,Jessica Kallie,1993,08/06/2016,Iron Works Open XII,1.,R-JR,-52,52.00,85,92.5,-97.5,42.5,45,-55,102.5,-107.5,,240,299.18
Jessica Kallie,competitions-view?id=1242,Jessica Kallie,1993,06/04/2016,MI Ironman Push/Pull or Bench Only Championships,1.,R-JR,-52,52.00,,,,-45,45,50,102.5,107.5,110,160,199.46
Jessica Kallie,competitions-view?id=1184,Jessica Kallie,1993,04/16/2016,ABBRx Natural and Fit USA Powerlifting Meet,2.,R-O,-52,52.00,-82.5,82.5,87.5,40,-47.5,-47.5,97.5,105,-115,232.5,289.83
Betty Van,competitions-view?id=1354,Betty Van,1994,10/13/2016,Raw Nationals 2016,6.,R-JR,-52,51.52,87.5,90,100,42.5,47.5,-50,110,120,125,272.5,342.15
Betty Van,competitions-view?id=1113,Betty Van,1994,02/20/2016,2016 USA Powerlifting Aggie Showdown,1.,R-JR,-52,51.50,-80,85,-95,37.5,42.5,-47.5,105,115,122.5,250,314.00
Shay Strelzik,competitions-view?id=1354,Shay Strelzik,1995,10/13/2016,Raw Nationals 2016,7.,R-JR,-52,51.37,90,-95,-95,42.5,-45,,100,102.5,107.5,240,302.02
Shay Strelzik,competitions-view?id=1219,Shay Strelzik,1995,05/14/2016,2nd Annual Boynton Barbell Raw Powerlifting Championship,1.,R-JR,-52,50.30,77.5,82.5,87.5,35,40,42.5,90,97.5,102.5,232.5,297.32
Shay Strelzik,competitions-view?id=1166,Shay Strelzik,1995,03/20/2016,2016 USA Powerlifting Orlando Open Championships,1.,R-JR,-52,49.60,75,80,82.5,35,37.5,40,90,95,97.5,220,284.35
Chrissy Arsenault,competitions-view?id=1354,Chrissy Arsenault,1992,10/13/2016,Raw Nationals 2016,8.,R-JR,-52,50.89,72.5,77.5,82.5,25,32.5,-37.5,82.5,92.5,97.5,212.5,269.34
Chrissy Arsenault,competitions-view?id=1262,Chrissy Arsenault,1992,04/02/2016,Southern Indiana Spring Classic,2.,R-O,-52,49.50,65,72.5,-82.5,25,-32.5,-32.5,72.5,80,-90,177.5,229.76
Gabrielle Mamani,competitions-view?id=1354,Gabrielle Mamani,1994,10/13/2016,Raw Nationals 2016,1.,R-JR,-57,56.11,127.5,135,-140,67.5,-72.5,-72.5,172.5,-180,180,382.5,449.36
Gabrielle Mamani,competitions-view?id=1301,Gabrielle Mamani,1994,08/15/2016,14th Annual North American Championships,1.,R-JR,-57,56.20,125,132.5,-140,60,67.5,75,-165,167.5,170.5,378,443.51
Gabrielle Mamani,competitions-view?id=1122,Gabrielle Mamani,1994,03/04/2016,Arnold - StartingStrength.com Pro Raw Challenge,1.,R-JR,-57,56.80,110,117.5,127.5,57.5,65,-70,170,-185,-185,362.5,421.81
