Name,Link,Name,YOB,Date,Competition,Placing,Division,Weightclass,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points
Jordan Behrens,competitions-view?id=992,Jordan Behrens,1993,10/15/2015,2015 Raw Nationals,12.,R-JR,-52,50.80,67.5,72.5,77.5,45,50,-52.5,100,110,115,242.5,307.78
Jordan Behrens,competitions-view?id=1281,Jordan Behrens,1993,07/18/2015,Gym and TLS Raw Challenge,1.,R-JR,-52,50.60,70,-82.5,-82.5,37.5,40,42.5,70,75,85,197.5,251.42
Kelly Lin,competitions-view?id=992,Kelly Lin,1992,10/15/2015,2015 Raw Nationals,1.,R-JR,-57,54.70,140,147.5,150,82.5,87.5,-90,142.5,-152.5,-155,380,455.43
Kelly Lin,competitions-view?id=807,Kelly Lin,1992,04/11/2015,2015 CA State Championship,1.,R-JR,-57,55.00,142.5,,,75,,,150,,,367.5,438.54
Kelly Lin,competitions-view?id=738,Kelly Lin,1992,11/08/2014,2014 CA Fall Classic,1.,R-JR,-56,55.20,127.5,,,75,,,142.5,,,345,410.55
Kelly Lin,competitions-view?id=455,Kelly Lin,1992,11/02/2013,2013 USAPL So Cal Regional Championships,-,R-JR,-56,53.70,97.5,,,67.5,,,120,,,285,346.53
Kelly Lin,competitions-view?id=500,Kelly Lin,1992,07/19/2013,2013 Raw Nationals,1.,R-JR,-57,55.60,122.5,,,75,,,142.5,,,340,402.29
Kelly Lin,competitions-view?id=540,Kelly Lin,1992,02/16/2013,2013 California State Powerlifting Championship,-,R-JR,-56,53.70,97.5,,,67.5,,,120,,,285,346.53
Beverly DiPiero,competitions-view?id=992,Beverly DiPiero,1994,10/15/2015,2015 Raw Nationals,2.,R-JR,-57,56.40,110,117.5,120,62.5,67.5,-70,140,147.5,155,342.5,400.76
Beverly DiPiero,competitions-view?id=682,Beverly DiPiero,1994,03/14/2015,2015 Florida State Championships,1.,R-O,-57,56.80,100,112.5,115,57.5,62.5,65,110,125,137.5,317.5,369.44
Gabrielle Mamani,competitions-view?id=992,Gabrielle Mamani,1994,10/15/2015,2015 Raw Nationals,10.,R-O,-57,55.90,110,-115,115,-57.5,-62.5,62.5,152.5,162.5,-170,340,400.62
Alee Douglass,competitions-view?id=992,Alee Douglass,0000,10/15/2015,2015 Raw Nationals,4.,R-JR,-57,56.50,105,117.5,-125,57.5,62.5,67.5,150,-165,-165,335,391.41
Ruby Liu,competitions-view?id=992,Ruby Liu,1992,10/15/2015,2015 Raw Nationals,19.,R-O,-57,56.50,92.5,102.5,107.5,52.5,55,-62.5,132.5,140,-147.5,302.5,353.44
Ruby Liu,competitions-view?id=888,Ruby Liu,1992,08/01/2015,New Jersey State Championships,2.,R-JR,-57,56.30,85,97.5,100,52.5,-57.5,-57.5,125,135,-145,287.5,336.86
Mary Clark,competitions-view?id=992,Mary Clark,1994,10/15/2015,2015 Raw Nationals,6.,R-JR,-57,54.70,87.5,92.5,95,57.5,62.5,65,120,130,140,300,359.55
Mary Clark,competitions-view?id=1473,Mary Clark,1994,07/07/2015,13th Annual IPF/NAPF North American Regional Powerlifting Championships,1.,R-JR,-63,58.71,102.5,107.5,-110,55,-60,-60,120,127.5,-137.5,290,328.83
Mary Clark,competitions-view?id=525,Mary Clark,1994,01/01/2013,2013 USAPL So Cal Regional Championships,-,R-T3,-60,58.20,82.5,,,52.5,,,117.5,,,252.5,288.25
Tessia De Mattos,competitions-view?id=992,Tessia De Mattos,1993,10/15/2015,2015 Raw Nationals,7.,R-JR,-57,54.90,105,112.5,-115,47.5,52.5,55,112.5,120,127.5,295,352.53
Tessia De Mattos,competitions-view?id=838,Tessia De Mattos,1993,04/25/2015,SBWC Raw Open Powerlifting Spring Classic 2015,1.,R-JR,-57,55.10,102.5,107.5,-115,42.5,47.5,-50,105,112.5,117.5,272.5,324.71
Tessia De Mattos,competitions-view?id=862,Tessia De Mattos,1993,04/25/2015,SBWC Raw Open Powerlifting Spring Classic 2015,1.,R-JR,-57,55.10,102.5,107.5,-115,42.5,47.5,-50,105,112.5,117.5,272.5,324.71
Tessia De Mattos,competitions-view?id=761,Tessia De Mattos,1993,01/25/2015,Northeast Iron Beast Winter Classic II,1.,R-JR,-57,55.40,110,,,47.5,,,115,,,272.5,323.35
Tessia De Mattos,competitions-view?id=724,Tessia De Mattos,1993,10/18/2014,SBWC Raw Open Powerlifting Fall Classic 2014,1.,R-JR,-56,54.90,100,,,47.5,,,110,,,257.5,307.71
Lauren Walton,competitions-view?id=992,Lauren Walton,1992,10/15/2015,2015 Raw Nationals,23.,R-O,-57,56.70,90,97.5,105,-52.5,52.5,57.5,112.5,120,127.5,290,337.91
Lauren Walton,competitions-view?id=869,Lauren Walton,1992,08/27/2015,Alaska State Fair PL Challenge,1.,R-O,-63,57.90,85,92.5,-100,-55,55,-62.5,107.5,117.5,125,272.5,312.37
Sierra Barner,competitions-view?id=992,Sierra Barner,1993,10/15/2015,2015 Raw Nationals,25.,R-O,-57,56.00,85,92.5,100,52.5,55,57.5,120,127.5,130,287.5,338.27
Sierra Barner,competitions-view?id=1055,Sierra Barner,1993,07/12/2015,2015 USAPL Ohio State Championships,1.,R-JR,-57,56.90,80,85,92.5,50,52.5,-55,112.5,122.5,-127.5,267.5,310.84
Emily Notini,competitions-view?id=992,Emily Notini,1991,10/15/2015,2015 Raw Nationals,10.,R-JR,-57,54.20,92.5,95,-97.5,45,-50,-50,117.5,122.5,-130,262.5,316.86
Emily Notini,competitions-view?id=855,Emily Notini,1991,05/30/2015,MA & RI Open State Championships,3.,R-JR,-52,51.10,-82.5,-90,-50,42.5,45,,112.5,120,-135,0,0.00
Emily Notini,competitions-view?id=754,Emily Notini,1991,11/22/2014,2014 New England Open PL Championships,7.,R-JR,-56,55.00,87.5,,,45,,,112.5,,,245,292.36
Amber Waddell,competitions-view?id=992,Amber Waddell,0000,10/15/2015,2015 Raw Nationals,11.,R-JR,-57,56.30,-75,-75,-75,47.5,-55,-57.5,127.5,142.5,147.5,0,0.00
Amber Waddell,competitions-view?id=905,Amber Waddell,0000,05/16/2015,015 USAPL Pennsylvania State Bench Press and Deadlift,2.,R-O,-57,56.10,60,75,-85,47.5,52.5,-57.5,120,137.5,142.5,270,317.25
Victoria Liang,competitions-view?id=992,Victoria Liang,1993,10/15/2015,2015 Raw Nationals,1.,R-JR,-63,62.30,142.5,150,155,-87.5,87.5,92.5,165,177.5,185,432.5,468.44
Victoria Liang,competitions-view?id=357,Victoria Liang,1993,02/28/2014,Arnold 2014-Raw Challenge,1.,R-JR,-63,60.10,122.5,,,77.5,,,165,,,365,406.39
Victoria Liang,competitions-view?id=500,Victoria Liang,1993,07/19/2013,2013 Raw Nationals,1.,R-JR,-63,61.40,118.5,,,77.5,,,157.5,,,353.5,387.15
